id,original,surface,pronunciation,class,extinct
9481,キイロマミヤイロチョウ,キイロマミヤイロチョウ,キイロマミヤイロチョウ,鳥類,no
9482,キイロミソサザイ,キイロミソサザイ,キイロミソサザイ,鳥類,no
9483,キイロミミマーモセット,キイロミミマーモセット,キイロミミマーモセット,哺乳類,no
9484,キイロメンガタハタオリ,キイロメンガタハタオリ,キイロメンガタハタオリ,鳥類,no
9485,キイロモズヒタキ,キイロモズヒタキ,キイロモズヒタキ,鳥類,no
9486,キエボシニワシドリ,キエボシニワシドリ,キエボシニワシドリ,鳥類,no
9487,キエリコウライウグイス,キエリコウライウグイス,キエリコウライウグイス,鳥類,no
9488,キエリゴシキドリ,キエリゴシキドリ,キエリゴシキドリ,鳥類,no
9489,キエリテンシハチドリ,キエリテンシハチドリ,キエリテンシハチドリ,鳥類,no
9490,キエリニジフウキンチョウ,キエリニジフウキンチョウ,キエリニジフウキンチョウ,鳥類,no
9491,キエリヒメコンゴウインコ,キエリヒメコンゴウインコ,キエリヒメコンゴウインコ,鳥類,no
9492,キエリミヤビゲラ,キエリミヤビゲラ,キエリミヤビゲラ,鳥類,no
9493,キエリヤブシトド,キエリヤブシトド,キエリヤブシトド,鳥類,no
9494,キエリヨタカ,キエリヨタカ,キエリヨタカ,鳥類,no
9495,キオビフウキンチョウ,キオビフウキンチョウ,キオビフウキンチョウ,鳥類,no
9496,キオビヤドクガエル,キオビヤドクガエル,キオビヤドクガエル,両生類,no
9497,キカイカエルウオ,キカイカエルウオ,キカイカエルウオ,魚類,no
9498,キカナガシラ,キカナガシラ,キカナガシラ,魚類,no
9499,キカムリスミレフウキンチョウ,キカムリスミレフウキンチョウ,キカムリスミレフウキンチョウ,鳥類,no
9500,キカムリタイランチョウ,キカムリタイランチョウ,キカムリタイランチョウ,鳥類,no
9501,キガオキンノジコ,キガオキンノジコ,キガオキンノジコ,鳥類,no
9502,キガオハシナガタイランチョウ,キガオハシナガタイランチョウ,キガオハシナガタイランチョウ,鳥類,no
9503,キガオフウキンチョウ,キガオフウキンチョウ,キガオフウキンチョウ,鳥類,no
9504,キガシラインコ,キガシラインコ,キガシラインコ,鳥類,no
9505,キガシラゲラ,キガシラゲラ,キガシラゲラ,鳥類,no
9506,キガシラゴシキドリ,キガシラゴシキドリ,キガシラゴシキドリ,鳥類,no
9507,キガシラハワイマシコ,キガシラハワイマシコ,キガシラハワイマシコ,鳥類,yes
9508,キガシラバンケン,キガシラバンケン,キガシラバンケン,鳥類,no
9509,キガシラヒメアオバト,キガシラヒメアオバト,キガシラヒメアオバト,鳥類,no
9510,キガシラヒラハシ,キガシラヒラハシ,キガシラヒラハシ,鳥類,no
9511,キガシラマメルリハシインコ,キガシラマメルリハシインコ,キガシラマメルリハシインコ,鳥類,no
9512,キガシラミドリマイコドリ,キガシラミドリマイコドリ,キガシラミドリマイコドリ,鳥類,no
9513,キガシラムジボウシインコ,キガシラムジボウシインコ,キガシラムジボウシインコ,鳥類,no
9514,キガタイカル,キガタイカル,キガタイカル,鳥類,no
9515,キガタキンショウジョウインコ,キガタキンショウジョウインコ,キガタキンショウジョウインコ,鳥類,no
9516,キガタシズカシトド,キガタシズカシトド,キガタシズカシトド,鳥類,no
9517,キキョウインコ,キキョウインコ,キキョウインコ,鳥類,no
9518,キクイタダキカザリドリ,キクイタダキカザリドリ,キクイタダキカザリドリ,鳥類,no
9519,キクイタダキモドキ,キクイタダキモドキ,キクイタダキモドキ,鳥類,no
9520,キクザトサワヘビ,キクザトサワヘビ,キクザトサワヘビ,爬虫類,no
9521,キクザメ,キクザメ,キクザメ,魚類,no
9522,キクスズメ,キクスズメ,キクスズメ,鳥類,no
9523,キクチヒタキ,キクチヒタキ,キクチヒタキ,鳥類,no
9524,キクチヒナモロコ,キクチヒナモロコ,キクチヒナモロコ,魚類,no
9525,キゴシオウゴンチョウ,キゴシオウゴンチョウ,キゴシオウゴンチョウ,鳥類,no
9526,キゴシオナガアリドリ,キゴシオナガアリドリ,キゴシオナガアリドリ,鳥類,no
9527,キゴシキンノジコ,キゴシキンノジコ,キゴシキンノジコ,鳥類,no
9528,キゴシキンパラ,キゴシキンパラ,キゴシキンパラ,鳥類,no
9529,キゴシクロハワイミツスイ,キゴシクロハワイミツスイ,キゴシクロハワイミツスイ,鳥類,yes
9530,キゴシクロヒワ,キゴシクロヒワ,キゴシクロヒワ,鳥類,no
9531,キゴシタイヨウチョウ,キゴシタイヨウチョウ,キゴシタイヨウチョウ,鳥類,no
9532,キゴシハナドリモドキ,キゴシハナドリモドキ,キゴシハナドリモドキ,鳥類,no
9533,キゴシヒメムシクイ,キゴシヒメムシクイ,キゴシヒメムシクイ,鳥類,no
9534,キゴシヘキチョウ,キゴシヘキチョウ,キゴシヘキチョウ,鳥類,no
9535,キゴロモハタオリ,キゴロモハタオリ,キゴロモハタオリ,鳥類,no
9536,キシタバウロコインコ,キシタバウロコインコ,キシタバウロコインコ,鳥類,no
9537,キシノウエトカゲ,キシノウエトカゲ,キシノウエトカゲ,爬虫類,no
9538,キジカッコウ,キジカッコウ,キジカッコウ,鳥類,no
9539,キジシャコ,キジシャコ,キジシャコ,鳥類,no
9540,キジハタ,キジハタ,キジハタ,魚類,no
9541,キスイガメ,キスイガメ,キスイガメ,爬虫類,no
9542,キスジインコ,キスジインコ,キスジインコ,鳥類,no
9543,キスジカマドドリ,キスジカマドドリ,キスジカマドドリ,鳥類,no
9544,キスジクサリヘビ,キスジクサリヘビ,キスジクサリヘビ,爬虫類,no
9545,キスジゲンロクダイ,キスジゲンロクダイ,キスジゲンロクダイ,魚類,no
9546,キスジソトイワシ,キスジソトイワシ,キスジソトイワシ,魚類,no
9547,キスジヒバァ,キスジヒバァ,キスジヒバァ,爬虫類,no
9548,キスジミツスイ,キスジミツスイ,キスジミツスイ,鳥類,no
9549,キスジムシクイカマドドリ,キスジムシクイカマドドリ,キスジムシクイカマドドリ,鳥類,no
9550,キズキンカオグロムシクイ,キズキンカオグロムシクイ,キズキンカオグロムシクイ,鳥類,no
9551,キタアオノドヒヨ,キタアオノドヒヨ,キタアオノドヒヨ,鳥類,no
9552,キタアカハラガメ,キタアカハラガメ,キタアカハラガメ,爬虫類,no
9553,キタアフリカコゲラ,キタアフリカコゲラ,キタアフリカコゲラ,鳥類,no
9554,キタアリゲータートカゲ,キタアリゲータートカゲ,キタアリゲータートカゲ,爬虫類,no
9555,キタアルゼンチンヤチマウス,キタアルゼンチンヤチマウス,キタアルゼンチンヤチマウス,哺乳類,no
9556,キタアンティルスライダー,キタアンティルスライダー,キタアンティルスライダー,爬虫類,no
9557,キタアンテキヌスモドキ,キタアンテキヌスモドキ,キタアンテキヌスモドキ,哺乳類,no
9558,キタイタチキツネザル,キタイタチキツネザル,キタイタチキツネザル,哺乳類,no
9559,キタイワトビペンギン,キタイワトビペンギン,キタイワトビペンギン,鳥類,no
9560,キタオウシュウサンショウウオ,キタオウシュウサンショウウオ,キタオウシュウサンショウウオ,両生類,no
9561,キタオオネズミキツネザル,キタオオネズミキツネザル,キタオオネズミキツネザル,哺乳類,no
9562,キタカワヒメマス,キタカワヒメマス,キタカワヒメマス,魚類,no
9563,キタカンムリショウノガン,キタカンムリショウノガン,キタカンムリショウノガン,鳥類,no
9564,キタガビチョウ,キタガビチョウ,キタガビチョウ,鳥類,no
9565,キタキフサタイヨウチョウ,キタキフサタイヨウチョウ,キタキフサタイヨウチョウ,鳥類,no
9566,キタキリン,キタキリン,キタキリン,哺乳類,no
9567,キタキンイロヒヨドリ,キタキンイロヒヨドリ,キタキンイロヒヨドリ,鳥類,no
9568,キタキンランチョウ,キタキンランチョウ,キタキンランチョウ,鳥類,no
9569,キタクビワコウモリ,キタクビワコウモリ,キタクビワコウモリ,哺乳類,no
9570,キタクロヌタウナギ,キタクロヌタウナギ,キタクロヌタウナギ,魚類,no
9571,キタシロアホウドリ,キタシロアホウドリ,キタシロアホウドリ,鳥類,no
9572,キタシロズキンヤブモズ,キタシロズキンヤブモズ,キタシロズキンヤブモズ,鳥類,no
9573,キタスナヤツメ,キタスナヤツメ,キタスナヤツメ,魚類,no
9574,キタスマトラヤイロチョウ,キタスマトラヤイロチョウ,キタスマトラヤイロチョウ,鳥類,no
9575,キタズアカヒメモズモドキ,キタズアカヒメモズモドキ,キタズアカヒメモズモドキ,鳥類,no
9576,キタセスジミツスイ,キタセスジミツスイ,キタセスジミツスイ,鳥類,no
9577,キタゾウアザラシ,キタゾウアザラシ,キタゾウアザラシ,哺乳類,no
9578,キタタキ,キタタキ,キタタキ,鳥類,no
9579,キタタラポアン,キタタラポアン,キタタラポアン,哺乳類,no
9580,キタチャノドハタオリ,キタチャノドハタオリ,キタチャノドハタオリ,鳥類,no
9581,キタツパイ,キタツパイ,キタツパイ,哺乳類,no
9582,キタドジョウ,キタドジョウ,キタドジョウ,魚類,no
9583,キタナキミソサザイ,キタナキミソサザイ,キタナキミソサザイ,鳥類,no
9584,キタネズミキツネザル,キタネズミキツネザル,キタネズミキツネザル,哺乳類,no
9585,キタノドジロコクイナ,キタノドジロコクイナ,キタノドジロコクイナ,鳥類,no
9586,キタノホッケ,キタノホッケ,キタノホッケ,魚類,no
9587,キタノメダカ,キタノメダカ,キタノメダカ,魚類,no
9588,キタハイイロガラ,キタハイイロガラ,キタハイイロガラ,鳥類,no
9589,キタハイイロクイナ,キタハイイロクイナ,キタハイイロクイナ,鳥類,no
9590,キタハリヅメガラゴ,キタハリヅメガラゴ,キタハリヅメガラゴ,哺乳類,no
9591,キタフクロモグラ,キタフクロモグラ,キタフクロモグラ,哺乳類,no
9592,キタブタオザル,キタブタオザル,キタブタオザル,哺乳類,no
9593,キタホオジロテナガザル,キタホオジロテナガザル,キタホオジロテナガザル,哺乳類,no
9594,キタホオジロヒメウソ,キタホオジロヒメウソ,キタホオジロヒメウソ,鳥類,no
9595,キタマクラ,キタマクラ,キタマクラ,魚類,no
9596,キタムリキ,キタムリキ,キタムリキ,哺乳類,no
9597,キタメグロヤブコマ,キタメグロヤブコマ,キタメグロヤブコマ,鳥類,no
9598,キタメラネシアオニサンショウクイ,キタメラネシアオニサンショウクイ,キタメラネシアオニサンショウクイ,鳥類,no
9599,キタメンガタハタオリ,キタメンガタハタオリ,キタメンガタハタオリ,鳥類,no
9600,キダイ,キダイ,キダイ,魚類,no
9601,キチジ,キチジ,キチジ,魚類,no
9602,キチヌ,キチヌ,キチヌ,魚類,no
9603,キッシンググラミー,キッシンググラミー,キッシンググラミー,魚類,no
9604,キツツキフィンチ,キツツキフィンチ,キツツキフィンチ,鳥類,no
9605,キツネアカエソ,キツネアカエソ,キツネアカエソ,魚類,no
9606,キツネセッカ,キツネセッカ,キツネセッカ,鳥類,no
9607,キツネダイ,キツネダイ,キツネダイ,魚類,no
9608,キツネチョウゲンボウ,キツネチョウゲンボウ,キツネチョウゲンボウ,鳥類,no
9609,キツネフエフキ,キツネフエフキ,キツネフエフキ,魚類,no
9610,キツネベラ,キツネベラ,キツネベラ,魚類,no
9611,キツネメバル,キツネメバル,キツネメバル,魚類,no
9612,キツネリス,キツネリス,キツネリス,哺乳類,no
9613,キヅノフウチョウ,キヅノフウチョウ,キヅノフウチョウ,鳥類,no
9614,キティブタバナコウモリ,キティブタバナコウモリ,キティブタバナコウモリ,哺乳類,no
9615,キテンタヒバリ,キテンタヒバリ,キテンタヒバリ,鳥類,no
9616,キトサカゲリ,キトサカゲリ,キトサカゲリ,鳥類,no
9617,キナバルカンムリワシ,キナバルカンムリワシ,キナバルカンムリワシ,鳥類,no
9618,キナバルジネズミ,キナバルジネズミ,キナバルジネズミ,哺乳類,no
9619,キヌバリ,キヌバリ,キヌバリ,魚類,no
9620,キノガーレ,キノガーレ,キノガーレ,哺乳類,no
9621,キノドアオジ,キノドアオジ,キノドアオジ,鳥類,no
9622,キノドアオヒヨドリ,キノドアオヒヨドリ,キノドアオヒヨドリ,鳥類,no
9623,キノドオオハシ,キノドオオハシ,キノドオオハシ,鳥類,no
9624,キノドカナリア,キノドカナリア,キノドカナリア,鳥類,no
9625,キノドカマドドリ,キノドカマドドリ,キノドカマドドリ,鳥類,no
9626,キノドキヌバネドリ,キノドキヌバネドリ,キノドキヌバネドリ,鳥類,no
9627,キノドコバシタイヨウチョウ,キノドコバシタイヨウチョウ,キノドコバシタイヨウチョウ,鳥類,no
9628,キノドスミレフウキンチョウ,キノドスミレフウキンチョウ,キノドスミレフウキンチョウ,鳥類,no
9629,キノドズアカチメドリ,キノドズアカチメドリ,キノドズアカチメドリ,鳥類,no
9630,キノドソウゲンノジコ,キノドソウゲンノジコ,キノドソウゲンノジコ,鳥類,no
9631,キノドツメナガタヒバリ,キノドツメナガタヒバリ,キノドツメナガタヒバリ,鳥類,no
9632,キノドノジコ,キノドノジコ,キノドノジコ,鳥類,no
9633,キノドハシブトカマドドリ,キノドハシブトカマドドリ,キノドハシブトカマドドリ,鳥類,no
9634,キノドハチマキヒタキモドキ,キノドハチマキヒタキモドキ,キノドハチマキヒタキモドキ,鳥類,no
9635,キノドヒメアリサザイ,キノドヒメアリサザイ,キノドヒメアリサザイ,鳥類,no
9636,キノドヒメゴシキドリ,キノドヒメゴシキドリ,キノドヒメゴシキドリ,鳥類,no
9637,キノドヒヨドリ,キノドヒヨドリ,キノドヒヨドリ,鳥類,no
9638,キノドヒラハシタイランチョウ,キノドヒラハシタイランチョウ,キノドヒラハシタイランチョウ,鳥類,no
9639,キノドマユカマドドリ,キノドマユカマドドリ,キノドマユカマドドリ,鳥類,no
9640,キノドミツスイ,キノドミツスイ,キノドミツスイ,鳥類,no
9641,キノドメジロ,キノドメジロ,キノドメジロ,鳥類,no
9642,キノドモリチメドリ,キノドモリチメドリ,キノドモリチメドリ,鳥類,no
9643,キノドヤドリギハナドリ,キノドヤドリギハナドリ,キノドヤドリギハナドリ,鳥類,no
9644,キノボリウオ,キノボリウオ,キノボリウオ,魚類,no
9645,キノボリセンザンコウ,キノボリセンザンコウ,キノボリセンザンコウ,哺乳類,no
9646,キノボリヤモリ,キノボリヤモリ,キノボリヤモリ,爬虫類,no
9647,キハダ,キハダ,キハダ,魚類,no
9648,キハチマキヒタキモドキ,キハチマキヒタキモドキ,キハチマキヒタキモドキ,鳥類,no
9649,キハッソク,キハッソク,キハッソク,魚類,no
9650,キバアンコウ,キバアンコウ,キバアンコウ,魚類,no
9651,キバシイカル,キバシイカル,キバシイカル,鳥類,no
9652,キバシオオミツスイ,キバシオオミツスイ,キバシオオミツスイ,鳥類,no
9653,キバシカマハシ,キバシカマハシ,キバシカマハシ,鳥類,no
9654,キバシキリハシ,キバシキリハシ,キバシキリハシ,鳥類,no
9655,キバシキンセイチョウ,キバシキンセイチョウ,キバシキンセイチョウ,鳥類,no
9656,キバシクロアマドリ,キバシクロアマドリ,キバシクロアマドリ,鳥類,no
9657,キバシコウカンチョウ,キバシコウカンチョウ,キバシコウカンチョウ,鳥類,no
9658,キバシゴジュウカラ,キバシゴジュウカラ,キバシゴジュウカラ,鳥類,no
9659,キバシサンジャク,キバシサンジャク,キバシサンジャク,鳥類,no
9660,キバシシズカシトド,キバシシズカシトド,キバシシズカシトド,鳥類,no
9661,キバシシャコ,キバシシャコ,キバシシャコ,鳥類,no
9662,キバシセイコウチョウ,キバシセイコウチョウ,キバシセイコウチョウ,鳥類,no
9663,キバシトビ,キバシトビ,キバシトビ,鳥類,no
9664,キバシバンケンモドキ,キバシバンケンモドキ,キバシバンケンモドキ,鳥類,no
9665,キバシヘラサギ,キバシヘラサギ,キバシヘラサギ,鳥類,no
9666,キバシヤブチメドリ,キバシヤブチメドリ,キバシヤブチメドリ,鳥類,no
9667,キバシユキカザリドリ,キバシユキカザリドリ,キバシユキカザリドリ,鳥類,no
9668,キバシリカマドドリ,キバシリカマドドリ,キバシリカマドドリ,鳥類,no
9669,キバシリハワイミツスイ,キバシリハワイミツスイ,キバシリハワイミツスイ,鳥類,no
9670,キバナウ,キバナウ,キバナウ,鳥類,no
9671,キバナボウシインコ,キバナボウシインコ,キバナボウシインコ,鳥類,no
9672,キバネゴシキドリ,キバネゴシキドリ,キバネゴシキドリ,鳥類,no
9673,キバネヒワミツドリ,キバネヒワミツドリ,キバネヒワミツドリ,鳥類,no
9674,キバネフウキンチョウ,キバネフウキンチョウ,キバネフウキンチョウ,鳥類,no
9675,キバネモズモドキ,キバネモズモドキ,キバネモズモドキ,鳥類,no
9676,キバノロ,キバノロ,キバノロ,哺乳類,no
9677,キバヨリメダルマガレイ,キバヨリメダルマガレイ,キバヨリメダルマガレイ,魚類,no
9678,キバラアカゲラ,キバラアカゲラ,キバラアカゲラ,鳥類,no
9679,キバライモリ,キバライモリ,キバライモリ,両生類,no
9680,キバラカギハシタイランチョウ,キバラカギハシタイランチョウ,キバラカギハシタイランチョウ,鳥類,no
9681,キバラカンムリヒヨドリ,キバラカンムリヒヨドリ,キバラカンムリヒヨドリ,鳥類,no
9682,キバラクロシメ,キバラクロシメ,キバラクロシメ,鳥類,no
9683,キバラケラインコ,キバラケラインコ,キバラケラインコ,鳥類,no
9684,キバラケンバネハチドリ,キバラケンバネハチドリ,キバラケンバネハチドリ,鳥類,no
9685,キバラコタイランチョウ,キバラコタイランチョウ,キバラコタイランチョウ,鳥類,no
9686,キバラシャコバト,キバラシャコバト,キバラシャコバト,鳥類,no
9687,キバラスズガエル,キバラスズガエル,キバラスズガエル,両生類,no
9688,キバラスミレフウキンチョウ,キバラスミレフウキンチョウ,キバラスミレフウキンチョウ,鳥類,no
9689,キバラタイランチョウ,キバラタイランチョウ,キバラタイランチョウ,鳥類,no
9690,キバラニュートンヒタキ,キバラニュートンヒタキ,キバラニュートンヒタキ,鳥類,no
9691,キバラニワシドリ,キバラニワシドリ,キバラニワシドリ,鳥類,no
9692,キバラノハラムシクイ,キバラノハラムシクイ,キバラノハラムシクイ,鳥類,no
9693,キバラハコヨコクビガメ,キバラハコヨコクビガメ,キバラハコヨコクビガメ,爬虫類,no
9694,キバラハリオアオバト,キバラハリオアオバト,キバラハリオアオバト,鳥類,no
9695,キバラヒゲハエトリ,キバラヒゲハエトリ,キバラヒゲハエトリ,鳥類,no
9696,キバラヒタキタイランチョウ,キバラヒタキタイランチョウ,キバラヒタキタイランチョウ,鳥類,no
9697,キバラヒタキモドキ,キバラヒタキモドキ,キバラヒタキモドキ,鳥類,no
9698,キバラヒメアオバト,キバラヒメアオバト,キバラヒメアオバト,鳥類,no
9699,キバラヒメキツツキ,キバラヒメキツツキ,キバラヒメキツツキ,鳥類,no
9700,キバラヒメムシクイ,キバラヒメムシクイ,キバラヒメムシクイ,鳥類,no
9701,キバラヒヨドリ,キバラヒヨドリ,キバラヒヨドリ,鳥類,no
9702,キバラヒワミツドリ,キバラヒワミツドリ,キバラヒワミツドリ,鳥類,no
9703,キバラフィジーヒタキ,キバラフィジーヒタキ,キバラフィジーヒタキ,鳥類,no
9704,キバラフウキンチョウ,キバラフウキンチョウ,キバラフウキンチョウ,鳥類,no
9705,キバラフタスジハエトリ,キバラフタスジハエトリ,キバラフタスジハエトリ,鳥類,no
9706,キバラマメタイランチョウ,キバラマメタイランチョウ,キバラマメタイランチョウ,鳥類,no
9707,キバラマユアリサザイ,キバラマユアリサザイ,キバラマユアリサザイ,鳥類,no
9708,キバラマルハシタイランチョウ,キバラマルハシタイランチョウ,キバラマルハシタイランチョウ,鳥類,no
9709,キバラミドリヒヨドリ,キバラミドリヒヨドリ,キバラミドリヒヨドリ,鳥類,no
9710,キバラムシクイタイランチョウ,キバラムシクイタイランチョウ,キバラムシクイタイランチョウ,鳥類,no
9711,キバラメガネヒタキ,キバラメガネヒタキ,キバラメガネヒタキ,鳥類,no
9712,キバラメジロ,キバラメジロ,キバラメジロ,鳥類,no
9713,キバラモリジアリドリ,キバラモリジアリドリ,キバラモリジアリドリ,鳥類,no
9714,キバラヤブシトド,キバラヤブシトド,キバラヤブシトド,鳥類,no
9715,キバラヤマメジロ,キバラヤマメジロ,キバラヤマメジロ,鳥類,no
9716,キバラユミハチドリ,キバラユミハチドリ,キバラユミハチドリ,鳥類,no
9717,キビタイオリーブフウキンチョウ,キビタイオリーブフウキンチョウ,キビタイオリーブフウキンチョウ,鳥類,no
9718,キビタイコノハドリ,キビタイコノハドリ,キビタイコノハドリ,鳥類,no
9719,キビタイゴシキドリ,キビタイゴシキドリ,キビタイゴシキドリ,鳥類,no
9720,キビタイチメドリ,キビタイチメドリ,キビタイチメドリ,鳥類,no
9721,キビタイトゲオカマドドリ,キビタイトゲオカマドドリ,キビタイトゲオカマドドリ,鳥類,no
9722,キビタイハタオリ,キビタイハタオリ,キビタイハタオリ,鳥類,no
9723,キビタイハネナガインコ,キビタイハネナガインコ,キビタイハネナガインコ,鳥類,no
9724,キビタイヒスイインコ,キビタイヒスイインコ,キビタイヒスイインコ,鳥類,no
9725,キビタイヒメアオバト,キビタイヒメアオバト,キビタイヒメアオバト,鳥類,no
9726,キビタイフウキンチョウ,キビタイフウキンチョウ,キビタイフウキンチョウ,鳥類,no
9727,キビタイマイコドリ,キビタイマイコドリ,キビタイマイコドリ,鳥類,no
9728,キビタイマユカマドドリ,キビタイマユカマドドリ,キビタイマユカマドドリ,鳥類,no
9729,キビタイメジロ,キビタイメジロ,キビタイメジロ,鳥類,no
9730,キビタイモズヒタキ,キビタイモズヒタキ,キビタイモズヒタキ,鳥類,no
9731,キビナゴ,キビナゴ,キビナゴ,魚類,no
9732,キビレフエダイ,キビレフエダイ,キビレフエダイ,魚類,no
9733,キビレボウズハギ,キビレボウズハギ,キビレボウズハギ,魚類,no
9734,キフォティラピア・フロントーサ,キフォティラピア・フロントーサ,キフォティラピア・フロントーサ,魚類,no
9735,キフジンインコ,キフジンインコ,キフジンインコ,鳥類,no
9736,キプリヌス・ルブロフスクス,キプリヌス・ルブロフスクス,キプリヌス・ルブロフスクス,魚類,no
9737,キプリノドン・マクラリス,キプリノドン・マクラリス,キプリノドン・マクラリス,魚類,no
9738,キプロスサバクヒタキ,キプロスサバクヒタキ,キプロスサバクヒタキ,鳥類,no
9739,キプンジ,キプンジ,キプンジ,哺乳類,no
9740,キペンゲレカナリア,キペンゲレカナリア,キペンゲレカナリア,鳥類,no
9741,キホウボウ,キホウボウ,キホウボウ,魚類,no
9742,キホオアメリカムシクイ,キホオアメリカムシクイ,キホオアメリカムシクイ,鳥類,no
9743,キホオコバシミツスイ,キホオコバシミツスイ,キホオコバシミツスイ,鳥類,no
9744,キホオテナガザル,キホオテナガザル,キホオテナガザル,哺乳類,no
9745,キホオハシナガタイランチョウ,キホオハシナガタイランチョウ,キホオハシナガタイランチョウ,鳥類,no
9746,キボウシアカゲラ,キボウシアカゲラ,キボウシアカゲラ,鳥類,no
9747,キボウシクロフウキンチョウ,キボウシクロフウキンチョウ,キボウシクロフウキンチョウ,鳥類,no
9748,キボウシスミレフウキンチョウ,キボウシスミレフウキンチョウ,キボウシスミレフウキンチョウ,鳥類,no
9749,キボウシニジフウキンチョウ,キボウシニジフウキンチョウ,キボウシニジフウキンチョウ,鳥類,no
9750,キボウシハナドリ,キボウシハナドリ,キボウシハナドリ,鳥類,no
9751,キボウシヒメエメラルドハチドリ,キボウシヒメエメラルドハチドリ,キボウシヒメエメラルドハチドリ,鳥類,no
9752,キボウシマルオマイコドリ,キボウシマルオマイコドリ,キボウシマルオマイコドリ,鳥類,no
9753,キボウシミドリインコ,キボウシミドリインコ,キボウシミドリインコ,鳥類,no
9754,キボシイシガメ,キボシイシガメ,キボシイシガメ,爬虫類,no
9755,キボシサンショウウオ,キボシサンショウウオ,キボシサンショウウオ,両生類,no
9756,キボシミズベハチドリ,キボシミズベハチドリ,キボシミズベハチドリ,鳥類,no
9757,キボシヤマフウキンチョウ,キボシヤマフウキンチョウ,キボシヤマフウキンチョウ,鳥類,no
9758,キマダラチズガメ,キマダラチズガメ,キマダラチズガメ,爬虫類,no
9759,キマダラトゲオイグアナ,キマダラトゲオイグアナ,キマダラトゲオイグアナ,爬虫類,no
9760,キマユオタテドリ,キマユオタテドリ,キマユオタテドリ,鳥類,no
9761,キマユコタイランチョウ,キマユコタイランチョウ,キマユコタイランチョウ,鳥類,no
9762,キマユコバシハエトリ,キマユコバシハエトリ,キマユコバシハエトリ,鳥類,no
9763,キマユコビトサザイ,キマユコビトサザイ,キマユコビトサザイ,鳥類,no
9764,キマユコムシクイ,キマユコムシクイ,キマユコムシクイ,鳥類,no
9765,キマユタイランチョウ,キマユタイランチョウ,キマユタイランチョウ,鳥類,no
9766,キマユヒタキタイランチョウ,キマユヒタキタイランチョウ,キマユヒタキタイランチョウ,鳥類,no
9767,キマユヒヨドリ,キマユヒヨドリ,キマユヒヨドリ,鳥類,no
9768,キマユホオジロ,キマユホオジロ,キマユホオジロ,鳥類,no
9769,キマユミドリチュウハシ,キマユミドリチュウハシ,キマユミドリチュウハシ,鳥類,no
9770,キミオコゼ,キミオコゼ,キミオコゼ,魚類,no
9771,キミドリイカル,キミドリイカル,キミドリイカル,鳥類,no
9772,キミドリインコ,キミドリインコ,キミドリインコ,鳥類,no
9773,キミドリヤブフウキンチョウ,キミドリヤブフウキンチョウ,キミドリヤブフウキンチョウ,鳥類,no
9774,キミミインコ,キミミインコ,キミミインコ,鳥類,no
9775,キミミクモカリドリ,キミミクモカリドリ,キミミクモカリドリ,鳥類,no
9776,キミミハゲラ,キミミハゲラ,キミミハゲラ,鳥類,no
9777,キミミヒヨドリ,キミミヒヨドリ,キミミヒヨドリ,鳥類,no
9778,キミミモリチメドリ,キミミモリチメドリ,キミミモリチメドリ,鳥類,no
9779,キムネオナガゴシキドリ,キムネオナガゴシキドリ,キムネオナガゴシキドリ,鳥類,no
9780,キムネオマキザル,キムネオマキザル,キムネオマキザル,哺乳類,no
9781,キムネオリーブフウキンチョウ,キムネオリーブフウキンチョウ,キムネオリーブフウキンチョウ,鳥類,no
9782,キムネカカ,キムネカカ,キムネカカ,鳥類,yes
9783,キムネクリセジアリドリ,キムネクリセジアリドリ,キムネクリセジアリドリ,鳥類,no
9784,キムネクロハタオリ,キムネクロハタオリ,キムネクロハタオリ,鳥類,no
9785,キムネコビトドリモドキ,キムネコビトドリモドキ,キムネコビトドリモドキ,鳥類,no
9786,キムネタイヨウチョウ,キムネタイヨウチョウ,キムネタイヨウチョウ,鳥類,no
9787,キムネタヒバリ,キムネタヒバリ,キムネタヒバリ,鳥類,no
9788,キムネハウチワドリ,キムネハウチワドリ,キムネハウチワドリ,鳥類,no
9789,キムネハナドリモドキ,キムネハナドリモドキ,キムネハナドリモドキ,鳥類,no
9790,キムネハヤシムシクイ,キムネハヤシムシクイ,キムネハヤシムシクイ,鳥類,no
9791,キムネヒメアリサザイ,キムネヒメアリサザイ,キムネヒメアリサザイ,鳥類,no
9792,キムネヒメクイナ,キムネヒメクイナ,キムネヒメクイナ,鳥類,no
9793,キムネヒメムシクイ,キムネヒメムシクイ,キムネヒメムシクイ,鳥類,no
9794,キムネフタスジハエトリ,キムネフタスジハエトリ,キムネフタスジハエトリ,鳥類,no
9795,キムネマユアリサザイ,キムネマユアリサザイ,キムネマユアリサザイ,鳥類,no
9796,キムネミツスイ,キムネミツスイ,キムネミツスイ,鳥類,no
9797,キムネミドリカザリドリ,キムネミドリカザリドリ,キムネミドリカザリドリ,鳥類,no
9798,キムネメジロ,キムネメジロ,キムネメジロ,鳥類,no
9799,キムネモリハタオリ,キムネモリハタオリ,キムネモリハタオリ,鳥類,no
9800,キメアラタピオカガエル,キメアラタピオカガエル,キメアラタピオカガエル,両生類,no
9801,キメジリオリーブツグミ,キメジリオリーブツグミ,キメジリオリーブツグミ,鳥類,no
9802,キモモシトド,キモモシトド,キモモシトド,鳥類,no
9803,キモモミツスイ,キモモミツスイ,キモモミツスイ,鳥類,yes
