id,original,surface,pronunciation,class,extinct
184,キンギョ,キンギョ,キンギョ,魚類,no
185,ヒツジ,ヒツジ,ヒツジ,NA,no
186,チャボウシウタイモズモドキ,チャボウシウタイモズモドキ,チャボウシウタイモズモドキ,鳥類,no
187,シリアカスミレフウキンチョウ,シリアカスミレフウキンチョウ,シリアカスミレフウキンチョウ,鳥類,no
188,クロアカミツスイ,クロアカミツスイ,クロアカミツスイ,鳥類,no
189,ハクジラ,ハクジラ,ハクジラ,NA,no
190,マツシロアシマウス,マツシロアシマウス,マツシロアシマウス,NA,no
191,カザンマウス,カザンマウス,カザンマウス,NA,no
192,ヒメミフウズラ,ヒメミフウズラ,ヒメミフウズラ,鳥類,no
193,ラケットカワセミ,ラケットカワセミ,ラケットカワセミ,鳥類,no
194,ヨーロッパオオライチョウ,ヨーロッパオオライチョウ,ヨーロッパオオライチョウ,鳥類,no
195,アカクロカザリドリ,アカクロカザリドリ,アカクロカザリドリ,鳥類,no
196,シタツンガ,シタツンガ,シタツンガ,哺乳類,no
197,オオワシ,オオワシ,オオワシ,鳥類,no
198,キバラチビオムシクイ,キバラチビオムシクイ,キバラチビオムシクイ,鳥類,no
199,コガモ,コガモ,コガモ,鳥類,no
200,ニシクロシコンチョウ,ニシクロシコンチョウ,ニシクロシコンチョウ,鳥類,no
201,アフリカヒロハシ,アフリカヒロハシ,アフリカヒロハシ,鳥類,no
202,ヨーロッパヤマネコ,ヨーロッパヤマネコ,ヨーロッパヤマネコ,哺乳類,no
203,ロバートアシナガマウス,ロバートアシナガマウス,ロバートアシナガマウス,NA,no
204,コシラギクタイランチョウ,コシラギクタイランチョウ,コシラギクタイランチョウ,鳥類,no
205,イセゴイ(ハイレン),イセゴイ(ハイレン),イセゴイ(ハイレン),NA,no
206,クイ,クイ,クイ,哺乳類,no
207,コシアカセッカ,コシアカセッカ,コシアカセッカ,鳥類,no
208,アゴジロゴシキドリ,アゴジロゴシキドリ,アゴジロゴシキドリ,鳥類,no
209,タイガーシベット,タイガーシベット,タイガーシベット,NA,no
210,プリンシペテリムク,プリンシペテリムク,プリンシペテリムク,鳥類,no
211,マユナシオタテドリ,マユナシオタテドリ,マユナシオタテドリ,鳥類,no
212,アゴグロヒメドリ,アゴグロヒメドリ,アゴグロヒメドリ,鳥類,no
213,ヒラメ,ヒラメ,ヒラメ,魚類,no
214,ヤマカガシ,ヤマカガシ,ヤマカガシ,爬虫類,no
215,ユキドリ,ユキドリ,ユキドリ,鳥類,no
216,フィリピンウグイス,フィリピンウグイス,フィリピンウグイス,鳥類,no
217,アカエリシトド,アカエリシトド,アカエリシトド,鳥類,no
218,ムネアカハナドリ,ムネアカハナドリ,ムネアカハナドリ,鳥類,no
219,オナガカワカマドドリ,オナガカワカマドドリ,オナガカワカマドドリ,鳥類,no
220,ミヤマヒメドリ,ミヤマヒメドリ,ミヤマヒメドリ,NA,no
221,ウシハタオリ,ウシハタオリ,ウシハタオリ,鳥類,no
222,ミドリキヌバネドリ,ミドリキヌバネドリ,ミドリキヌバネドリ,鳥類,no
223,キタキバシヒトリツグミ,キタキバシヒトリツグミ,キタキバシヒトリツグミ,鳥類,no
224,シロオビミドリツバメ,シロオビミドリツバメ,シロオビミドリツバメ,鳥類,no
225,レイサンヨシキリ,レイサンヨシキリ,レイサンヨシキリ,鳥類,no
226,タイヘイヨウトガリネズミ,タイヘイヨウトガリネズミ,タイヘイヨウトガリネズミ,NA,no
